#More Negative is towards the Secondary (so the focal plane is concave),,,
#No Vigentting (yet) up to the full radius of 409.4 mm,,,
#ROC,,12657,
#Radius (mm),Z (mm),Avg F/num,Chief Ray Deviation (deg)
R,Z,fnum,CRD
0,0.000,3.612314726,0.000499179
2.042660669,0.000,3.612315071,0.003955128
4.085324701,-0.001,3.612316103,0.007862974
6.127989774,-0.001,3.612317824,0.011781519
8.170656408,-0.003,3.612320233,0.01570302
10.21332512,-0.004,3.612323332,0.019626001
12.25599644,-0.006,3.612327118,0.023550042
14.29867088,-0.008,3.612331594,0.027475022
16.34134897,-0.011,3.612336759,0.031400933
18.38403122,-0.013,3.612342613,0.03532782
20.42671816,-0.016,3.612349157,0.03925575
22.46941031,-0.020,3.612356392,0.043184807
24.51210818,-0.024,3.612364317,0.04711508
26.55481232,-0.028,3.612372932,0.051046665
28.59752323,-0.032,3.612382239,0.054979661
30.64024144,-0.037,3.612392238,0.058914169
32.68296747,-0.042,3.612402929,0.062850291
34.72570185,-0.048,3.612414313,0.066788131
36.76844511,-0.053,3.61242639,0.070727793
38.81119776,-0.060,3.612439161,0.074669383
40.85396034,-0.066,3.612452627,0.078613006
42.89673338,-0.073,3.612466789,0.082558769
44.93951739,-0.080,3.612481647,0.086506778
46.98231291,-0.087,3.612497201,0.09045714
49.02512047,-0.095,3.612513454,0.094409963
51.0679406,-0.103,3.612530405,0.098365353
53.11077382,-0.111,3.612548055,0.10232342
55.15362067,-0.120,3.612566406,0.10628427
57.19648168,-0.129,3.612585458,0.110248013
59.23935739,-0.139,3.612605212,0.114214756
61.28224833,-0.148,3.61262567,0.11818461
63.32515503,-0.158,3.612646832,0.122157683
65.36807803,-0.169,3.612668699,0.126134084
67.41101787,-0.180,3.612691274,0.130113924
69.45397509,-0.191,3.612714555,0.134097312
71.49695022,-0.202,3.612738546,0.138084358
73.53994381,-0.214,3.612763247,0.142075173
75.5829564,-0.226,3.61278866,0.146069869
77.62598853,-0.238,3.612814785,0.150068555
79.66904075,-0.251,3.612841624,0.154071344
81.71211361,-0.264,3.612869179,0.158078348
83.75520764,-0.277,3.612897451,0.162089678
85.7983234,-0.291,3.612926441,0.166105446
87.84146145,-0.305,3.612956152,0.170125766
89.88462232,-0.319,3.612986584,0.174150751
91.92780658,-0.334,3.613017739,0.178180514
93.97101478,-0.349,3.613049619,0.182215169
96.01424747,-0.364,3.613082225,0.186254829
98.05750522,-0.380,3.613115559,0.19029961
100.1007886,-0.396,3.613149623,0.194349627
102.1440981,-0.412,3.613184419,0.198404995
104.1874344,-0.429,3.613219948,0.202465829
106.230798,-0.446,3.613256212,0.206532245
108.2741894,-0.463,3.613293214,0.210604361
110.3176093,-0.481,3.613330955,0.214682293
112.3610582,-0.499,3.613369436,0.218766159
114.4045366,-0.517,3.613408661,0.222856076
116.4480453,-0.536,3.613448631,0.226952162
118.4915846,-0.555,3.613489348,0.231054538
120.5351553,-0.574,3.613530815,0.235163321
122.5787579,-0.594,3.613573033,0.239278632
124.6223929,-0.614,3.613616006,0.24340059
126.666061,-0.634,3.613659734,0.247529317
128.7097627,-0.654,3.61370422,0.251664934
130.7534987,-0.675,3.613749467,0.255807562
132.7972695,-0.697,3.613795478,0.259957325
134.8410757,-0.718,3.613842254,0.264114344
136.8849179,-0.740,3.613889798,0.268278743
138.9287968,-0.762,3.613938113,0.272450647
140.9727129,-0.785,3.613987201,0.27663018
143.0166667,-0.808,3.614037064,0.280817466
145.0606591,-0.831,3.614087706,0.285012632
147.1046904,-0.855,3.614139129,0.289215805
149.1487614,-0.879,3.614191336,0.29342711
151.1928727,-0.903,3.614244329,0.297646676
153.2370249,-0.928,3.614298111,0.301874631
155.2812185,-0.953,3.614352686,0.306111105
157.3254543,-0.978,3.614408057,0.310356225
159.3697328,-1.003,3.614464225,0.314610124
161.4140547,-1.029,3.614521195,0.318872931
163.4584206,-1.056,3.614578968,0.323144779
165.5028312,-1.082,3.614637549,0.327425799
167.547287,-1.109,3.61469694,0.331716125
169.5917888,-1.136,3.614757146,0.336015891
171.6363371,-1.164,3.614818168,0.340325232
173.6809327,-1.192,3.61488001,0.344644282
175.7255761,-1.220,3.614942676,0.348973177
177.770268,-1.248,3.615006168,0.353312056
179.8150091,-1.277,3.615070491,0.357661055
181.8598001,-1.307,3.615135648,0.362020313
183.9046415,-1.336,3.615201643,0.366389969
185.9495342,-1.366,3.615268478,0.370770163
187.9944786,-1.396,3.615336158,0.375161037
190.0394756,-1.427,3.615404685,0.379562733
192.0845258,-1.458,3.615474065,0.383975392
194.1296298,-1.489,3.615544301,0.38839916
196.1747884,-1.520,3.615615397,0.39283418
198.2200023,-1.552,3.615687356,0.397280598
200.2652721,-1.584,3.615760182,0.401738561
202.3105985,-1.617,3.61583388,0.406208216
204.3559823,-1.650,3.615908453,0.41068971
206.4014241,-1.683,3.615983906,0.415183195
208.4469247,-1.717,3.616060242,0.41968882
210.4924848,-1.750,3.616137467,0.424206736
212.538105,-1.785,3.616215584,0.428737095
214.5837862,-1.819,3.616294597,0.433280052
216.629529,-1.854,3.616374511,0.437835761
218.6753342,-1.889,3.616455331,0.442404377
220.7212025,-1.925,3.61653706,0.446986057
222.7671347,-1.961,3.616619704,0.451580959
224.8131314,-1.997,3.616703267,0.456189242
226.8591935,-2.033,3.616787753,0.460811066
228.9053216,-2.070,3.616873167,0.465446591
230.9515167,-2.107,3.616959516,0.470095981
232.9977793,-2.145,3.617046801,0.4747594
235.0441103,-2.183,3.61713503,0.47943701
237.0905105,-2.221,3.617224207,0.48412898
239.1369806,-2.259,3.617314336,0.488835476
241.1835215,-2.298,3.617405423,0.493556667
243.2301338,-2.337,3.617497474,0.498292723
245.2768185,-2.377,3.617590493,0.503043814
247.3235762,-2.417,3.617684485,0.507810113
249.3704079,-2.457,3.617779456,0.512591795
251.4173142,-2.497,3.617875412,0.517389034
253.4642961,-2.538,3.617972357,0.522202007
255.5113544,-2.579,3.618070298,0.527030892
257.5584898,-2.621,3.618169239,0.531875868
259.6057033,-2.663,3.618269187,0.536737117
261.6529956,-2.705,3.618370148,0.54161482
263.7003675,-2.747,3.618472127,0.546509162
265.74782,-2.790,3.618575129,0.551420327
267.795354,-2.833,3.618679161,0.556348504
269.8429701,-2.877,3.61878423,0.561293879
271.8906694,-2.921,3.61889034,0.566256644
273.9384527,-2.965,3.618997499,0.57123699
275.9863209,-3.009,3.619105711,0.576235111
278.0342748,-3.054,3.619214985,0.5812512
280.0823154,-3.099,3.619325326,0.586285455
282.1304435,-3.145,3.61943674,0.591338075
284.1786601,-3.191,3.619549234,0.596409259
286.2269661,-3.237,3.619662815,0.601499209
288.2753624,-3.283,3.619777489,0.606608129
290.3238499,-3.330,3.619893263,0.611736224
292.3724295,-3.377,3.620010144,0.616883701
294.4211022,-3.425,3.620128139,0.62205077
296.469869,-3.473,3.620247254,0.627237642
298.5187308,-3.521,3.620367498,0.632444529
300.5676885,-3.569,3.620488876,0.637671647
302.6167431,-3.618,3.620611397,0.642919212
304.6658957,-3.667,3.620735067,0.648187443
306.7151471,-3.717,3.620859894,0.653476562
308.7644984,-3.767,3.620985886,0.65878679
310.8139506,-3.817,3.621113049,0.664118354
312.8635046,-3.867,3.621241392,0.66947148
314.9131616,-3.918,3.621370923,0.674846397
316.9629224,-3.969,3.621501649,0.680243338
319.0127882,-4.021,3.621633578,0.685662536
321.06276,-4.073,3.621766718,0.691104228
323.1128389,-4.125,3.621901077,0.69656865
325.1630258,-4.177,3.622036664,0.702056045
327.2133218,-4.230,3.622173487,0.707566655
329.2637281,-4.284,3.622311553,0.713100726
331.3142457,-4.337,3.622450873,0.718658506
333.3648757,-4.391,3.622591454,0.724240244
335.4156192,-4.445,3.622733304,0.729846194
337.4664773,-4.500,3.622876434,0.735476611
339.5174511,-4.555,3.62302085,0.741131754
341.5685418,-4.610,3.623166564,0.746811882
343.6197504,-4.665,3.623313583,0.75251726
345.6710782,-4.721,3.623461916,0.758248152
347.7225263,-4.777,3.623611574,0.764004829
349.7740958,-4.834,3.623762565,0.769787561
351.8257879,-4.891,3.623914899,0.775596623
353.8776038,-4.948,3.624068585,0.781432292
355.9295447,-5.006,3.624223634,0.787294848
357.9816118,-5.063,3.624380055,0.793184574
360.0338063,-5.122,3.624537858,0.799101758
362.0861295,-5.180,3.624697053,0.805046687
364.1385825,-5.239,3.624857649,0.811019654
366.1911667,-5.298,3.625019659,0.817020955
368.2438832,-5.358,3.625183092,0.823050889
370.2967333,-5.418,3.625347957,0.829109756
372.3497184,-5.478,3.625514267,0.835197864
374.4028397,-5.539,3.625682032,0.84131552
376.4560985,-5.600,3.625851262,0.847463036
378.5094961,-5.661,3.626021969,0.853640728
380.5630338,-5.723,3.626194163,0.859848915
382.616713,-5.785,3.626367857,0.866087919
384.6705351,-5.847,3.626543061,0.872358068
386.7245013,-5.909,3.626719787,0.87865969
388.7786131,-5.972,3.626898046,0.884993119
390.8328718,-6.036,3.627077851,0.891358693
392.8872788,-6.099,3.627259212,0.897756754
394.9418355,-6.163,3.627442144,0.904187646
396.9965435,-6.228,3.627626656,0.910651719
399.0514039,-6.292,3.627812763,0.917149326
401.1064185,-6.357,3.628000475,0.923680826
403.1615885,-6.423,3.628189806,0.930246578
405.2169155,-6.488,3.628380769,0.93684695
407.2724009,-6.554,3.628573376,0.943482312
